segmento,tiempo,frame,segundo,id,equipo,x,y,x_norm,y_norm,zona_v,zona_h,conf
2T — Inicio a TM Olimpia,2T,10842,361.4,3806,olimpia,377.3,156.7,0.59,0.241,gestacion,carril_izquierdo,0.62
2T — Inicio a TM Olimpia,2T,10845,361.5,3795,olimpia,437.5,265.7,0.684,0.648,definicion,carril_central,0.8
2T — Inicio a TM Olimpia,2T,10845,361.5,3801,marmoleria,115.7,254.2,0.181,0.605,defensa,carril_central,0.79
2T — Inicio a TM Olimpia,2T,10845,361.5,3809,marmoleria,484.9,328.1,0.758,0.881,definicion,carril_derecho,0.65
2T — Inicio a TM Olimpia,2T,10845,361.5,3810,marmoleria,293.9,169.2,0.459,0.288,gestacion,carril_izquierdo,0.75
2T — Inicio a TM Olimpia,2T,10845,361.5,3806,olimpia,375.3,157.0,0.586,0.242,gestacion,carril_izquierdo,0.54
2T — Inicio a TM Olimpia,2T,10848,361.6,3795,olimpia,443.5,256.9,0.693,0.615,definicion,carril_central,0.79
2T — Inicio a TM Olimpia,2T,10848,361.6,3801,marmoleria,119.9,254.6,0.187,0.607,defensa,carril_central,0.8
2T — Inicio a TM Olimpia,2T,10848,361.6,3809,marmoleria,484.9,327.8,0.758,0.88,definicion,carril_derecho,0.65
2T — Inicio a TM Olimpia,2T,10848,361.6,3810,marmoleria,294.3,169.2,0.46,0.288,gestacion,carril_izquierdo,0.63
2T — Inicio a TM Olimpia,2T,10848,361.6,3806,olimpia,373.8,156.4,0.584,0.24,gestacion,carril_izquierdo,0.54
2T — Inicio a TM Olimpia,2T,10851,361.7,3795,olimpia,447.4,256.0,0.699,0.612,definicion,carril_central,0.79
2T — Inicio a TM Olimpia,2T,10851,361.7,3801,marmoleria,122.1,254.8,0.191,0.607,defensa,carril_central,0.8
2T — Inicio a TM Olimpia,2T,10851,361.7,3809,marmoleria,484.9,328.1,0.758,0.881,definicion,carril_derecho,0.64
2T — Inicio a TM Olimpia,2T,10851,361.7,3810,marmoleria,294.9,168.9,0.461,0.287,gestacion,carril_izquierdo,0.55
2T — Inicio a TM Olimpia,2T,10851,361.7,3806,olimpia,372.2,155.9,0.582,0.239,gestacion,carril_izquierdo,0.66
2T — Inicio a TM Olimpia,2T,10854,361.8,3795,olimpia,449.3,256.7,0.702,0.614,definicion,carril_central,0.77
2T — Inicio a TM Olimpia,2T,10854,361.8,3801,marmoleria,126.4,254.9,0.198,0.608,defensa,carril_central,0.75
2T — Inicio a TM Olimpia,2T,10854,361.8,3809,marmoleria,485.2,328.6,0.758,0.883,definicion,carril_derecho,0.6
2T — Inicio a TM Olimpia,2T,10854,361.8,3806,olimpia,371.1,155.5,0.58,0.237,gestacion,carril_izquierdo,0.65
2T — Inicio a TM Olimpia,2T,10857,361.9,3795,olimpia,452.6,256.1,0.707,0.612,definicion,carril_central,0.81
2T — Inicio a TM Olimpia,2T,10857,361.9,3801,marmoleria,130.7,251.5,0.204,0.595,defensa,carril_central,0.56
2T — Inicio a TM Olimpia,2T,10857,361.9,3809,marmoleria,485.4,328.6,0.758,0.883,definicion,carril_derecho,0.62
2T — Inicio a TM Olimpia,2T,10860,362.0,3795,olimpia,455.8,254.5,0.83,0.606,definicion,carril_central,0.78
2T — Inicio a TM Olimpia,2T,10860,362.0,3810,marmoleria,296.7,167.9,0.54,0.283,gestacion,carril_izquierdo,0.46
2T — Inicio a TM Olimpia,2T,10863,362.1,3795,olimpia,462.6,252.6,0.843,0.599,definicion,carril_central,0.77
